Date,R
2020-03-05,4.96731565321008
2020-03-06,4.85937473342262
2020-03-07,4.86186191189948
2020-03-08,4.64651961767478
2020-03-09,4.39352876002773
2020-03-10,4.41421223187222
2020-03-11,4.48151762251137
2020-03-12,4.42850616493753
2020-03-13,4.44514572599935
2020-03-14,4.3710906884211
2020-03-15,4.42422329477473
2020-03-16,4.73791095830996
2020-03-17,4.82315311188902
2020-03-18,4.81654687018362
2020-03-19,4.79008824265754
2020-03-20,4.65771262250205
2020-03-21,4.40123595654787
2020-03-22,4.23214926126024
2020-03-23,3.91107986358221
2020-03-24,3.5545294865349
2020-03-25,3.25456624521998
2020-03-26,3.05388275031981
2020-03-27,2.88849467610032
2020-03-28,2.75910758565959
2020-03-29,2.63716475921844
2020-03-30,2.50349357292374
2020-03-31,2.38425369768128
2020-04-01,2.24414297352965
2020-04-02,2.08071206096826
2020-04-03,1.96270833337507
2020-04-04,1.87638083838003
2020-04-05,1.78691944677261
2020-04-06,1.67655800209329
2020-04-07,1.56152880824775
2020-04-08,1.45328735142445
2020-04-09,1.36917683170802
2020-04-10,1.30940524638389
2020-04-11,1.2661312186226
2020-04-12,1.23142032534601
2020-04-13,1.18504683786194
2020-04-14,1.13960027784686
2020-04-15,1.09098857852676
2020-04-16,1.06662265881592
2020-04-17,1.07008300021311
2020-04-18,1.07918047218257
2020-04-19,1.08693512672243
2020-04-20,1.08619745322897
2020-04-21,1.06636894904623
2020-04-22,1.05117149525877
2020-04-23,1.03813924227328
2020-04-24,1.02811356182035
2020-04-25,1.02681021216743
2020-04-26,1.01793337349841
2020-04-27,0.998048148953501
2020-04-28,0.985196678805635
2020-04-29,0.977211245265194
2020-04-30,0.974520179454001
2020-05-01,0.980790588986995
2020-05-02,0.975012602908152
2020-05-03,0.967903240564162
2020-05-04,0.956379141264692
2020-05-05,0.938704054719284
2020-05-06,0.921218139158994
2020-05-07,0.903918171459215
2020-05-08,0.892659298381472
2020-05-09,0.89095269873774
2020-05-10,0.888085910914905
2020-05-11,0.889429218061858
2020-05-12,0.894983972844742
2020-05-13,0.894685486930058
2020-05-14,0.902354445801392
2020-05-15,0.907370131208647
2020-05-16,0.918221820601463
2020-05-17,0.925498543734036
2020-05-18,0.935962809112044
2020-05-19,0.934131200329387
2020-05-20,0.934855630261588
2020-05-21,0.92714204576148
2020-05-22,0.916917966149372
2020-05-23,0.916287448449464
2020-05-24,0.922364155032638
2020-05-25,0.91888763414233
2020-05-26,0.915386127094578
2020-05-27,0.915145162716675
2020-05-28,0.926624023639522
2020-05-29,0.94243736782838
2020-05-30,0.95684649161751
2020-05-31,0.959281461740189
2020-06-01,0.957907666587099
2020-06-02,0.959495877556433
2020-06-03,0.956154377651055
2020-06-04,0.957395543976144
2020-06-05,0.965182881186243
2020-06-06,0.965594931698456
2020-06-07,0.97055944335402
2020-06-08,0.973914290240093
2020-06-09,0.98102754763798
2020-06-10,1.0010739650959
2020-06-11,1.02377601773856
2020-06-12,1.04779140847557
2020-06-13,1.07167811433379
2020-06-14,1.08872275327762
2020-06-15,1.11068295674072
2020-06-16,1.14153639524127
2020-06-17,1.17820803335609
2020-06-18,1.20916146724999
2020-06-19,1.24114276362324
2020-06-20,1.27365500083113
2020-06-21,1.29880342259066
2020-06-22,1.33297666612123
2020-06-23,1.35272581822024
2020-06-24,1.36017199420642
2020-06-25,1.37233071708941
2020-06-26,1.38594835416074
2020-06-27,1.38801904920139
2020-06-28,1.38988442431231
2020-06-29,1.38547280440834
2020-06-30,1.37680813835958
2020-07-01,1.37043519889474
2020-07-02,1.35290645159905
2020-07-03,1.32394176816616
2020-07-04,1.31024092191684
2020-07-05,1.31130184865453
2020-07-06,1.30622044281076
2020-07-07,1.31408342082179
2020-07-08,1.30890581607051
2020-07-09,1.30120969872604
2020-07-10,1.29780894724369
2020-07-11,1.28830151352814
2020-07-12,1.27820605270303
2020-07-13,1.26788029736893
2020-07-14,1.25138901143462
2020-07-15,1.23258115967857
2020-07-16,1.21454729591125
2020-07-17,1.18648375728457
2020-07-18,1.16594669961022
2020-07-19,1.15095290675569
2020-07-20,1.13405254246308
2020-07-21,1.10993829091929
2020-07-22,1.09309616831454
2020-07-23,1.07599496098957
2020-07-24,1.06542430494171
2020-07-25,1.05574509520641
2020-07-26,1.04503887654006
2020-07-27,1.03657753707149
2020-07-28,1.02656198197797
2020-07-29,1.01178907296432
2020-07-30,0.987658381313611
2020-07-31,0.963430386897985
2020-08-01,0.94155355006402
2020-08-02,0.925602027623015
2020-08-03,0.91681147203845
2020-08-04,0.915521666778404
2020-08-05,0.907294032913033
2020-08-06,0.907134148063308
2020-08-07,0.905040590098774
2020-08-08,0.910636926081034
2020-08-09,0.913261649046827
2020-08-10,0.911544439034877
2020-08-11,0.903400125725372
2020-08-12,0.902182961189052
2020-08-13,0.897853234029883
2020-08-14,0.897886510473809
2020-08-15,0.881749588856603
2020-08-16,0.869555424596606
2020-08-17,0.859773324339182
2020-08-18,0.856870161915265
2020-08-19,0.851176963938875
2020-08-20,0.846094825337748
2020-08-21,0.847372307783077
2020-08-22,0.85513579819945
2020-08-23,0.864733352695404
2020-08-24,0.877432344384435
2020-08-25,0.885140692757918
2020-08-26,0.893241635706985
2020-08-27,0.896250148971076
2020-08-28,0.895550793545583
2020-08-29,0.903550558228499
2020-08-30,0.910921682210154
2020-08-31,0.920015433320024
2020-09-01,0.925655992890077
2020-09-02,0.921995213188624
2020-09-03,0.919031567491288
2020-09-04,0.911675923394896
2020-09-05,0.894655274778475
2020-09-06,0.870765392506155
