sector,Feb
Total Farm,352800
Mining and Logging,21600
Utilities,57500
Construction,57500
Manufacturing,1319300
Wholesale Trade,684600
Retail Trade,1632300
Transportation and Warehousing,664400
Information,592400
Financial Activities,847800
Professional and Business Services,2753300
Educational and Health Services,2886300
Leisure and Hospitality,2028300
Other Services,588900
Government,2635500
