Sector,Feb
Total farm,217
Mining and logging,7100
Utilities,15300
Construction,147600
Manufacturing,100100
Wholesale trade,138200
Retail trade,337600
Transportation and warehousing,131200
Information,208100
Financial,477700
Professional and business,804400
Education and health,1090500
Leisure and hospitality,452600
Other,200300
Government,591300
