Sector,Feb
Total farm,23700
Mining and logging,900
Utilities,900
Construction,17200
Manufacturing,26400
Wholesale trade,13300
Retail trade,37200
Transportation and warehousing,5500
Information,4700
Financial,15900
Professional and business,45100
Education and health,50400
Leisure and hospitality,37900
Other,9600
Government,48700
