Sector,Feb
Total farm,36600
Mining and logging,300
Utilities,2300
Construction,18300
Manufacturing,26100
Wholesale trade,14800
Retail trade,38800
Transportation and warehousing,14300
Information,3400
Financial,14900
Professional and business,33500
Education and health,74200
Leisure and hospitality,34900
Other,12000
Government,76600
