Sector,Feb
Total farm,1100
Mining and logging,200
Utilities,5500
Construction,74500
Manufacturing,99300
Wholesale trade,45100
Retail trade,111100
Transportation and warehousing,36700
Information,27900
Financial,55100
Professional and business,189900
Education and health,199700
Leisure and hospitality,117400
Other,41100
Government,176900
