Sector,Feb
Total farm,13800
Mining and logging,1200
Utilities,4800
Construction,106400
Manufacturing,98800
Wholesale trade,66600
Retail trade,180000
Transportation and warehousing,142200
Information,11300
Financial,43600
Professional and business,155700
Education and health,257700
Leisure and hospitality,175000
Other,44800
Government,261000
