Sector,Feb
Total farm,11300
Mining and logging,100
Utilities,1500
Construction,12600
Manufacturing,18600
Wholesale trade,12600
Retail trade,25400
Transportation and warehousing,31300
Information,1600
Financial,8000
Professional and business,20200
Education and health,38800
Leisure and hospitality,22500
Other,7800
Government,46000
