Sector,Feb
Total farm,9500
Mining and logging,400
Utilities,4600
Construction,83600
Manufacturing,116500
Wholesale trade,43700
Retail trade,144300
Transportation and warehousing,29900
Information,23400
Financial,76900
Professional and business,264400
Education and health,222100
Leisure and hospitality,197600
Other,55300
Government,251800
