Sector,Feb
Total farm,1500
Mining and logging,100
Utilities,4900
Construction,41800
Manufacturing,38700
Wholesale trade,25800
Retail trade,77000
Transportation and warehousing,45000
Information,99900
Financial,86900
Professional and business,299600
Education and health,150200
Leisure and hospitality,147900
Other,41300
Government,132300
