Sector,Feb
Total farm,4700
Mining and logging,200
Utilities,1600
Construction,51200
Manufacturing,174800
Wholesale trade,31000
Retail trade,83200
Transportation and warehousing,14900
Information,103700
Financial,38300
Professional and business,243100
Education and health,179700
Leisure and hospitality,101600
Other,29900
Government,98600
