Sector,Feb
Total farm,1800
Mining and logging,400
Utilities,3000
Construction,105400
Manufacturing,158700
Wholesale trade,78300
Retail trade,150300
Transportation and warehousing,26700
Information,25800
Financial,120800
Professional and business,326300
Education and health,235100
Leisure and hospitality,227500
Other,50800
Government,168700
