Sector,Feb
Total farm,4400
Mining and logging,1900
Utilities,12200
Construction,152600
Manufacturing,336600
Wholesale trade,218700
Retail trade,415800
Transportation and warehousing,205800
Information,241000
Financial,225000
Professional and business,647700
Education and health,865100
Leisure and hospitality,543700
Other,160100
Government,606200
