#Industry Title	#Standard name
Total Farm	Farm
Mining and Logging	Mining
Utilities	Utilities
Construction	Construction
Manufacturing	Manufacturing
Wholesale Trade	Wholesale
Retail Trade	Retail
Transportation and Warehousing	Transportation
Information	Information
Financial Activities	Financial
Professional and Business Services	Professional
Educational and Health Services	Education and Health
Leisure and Hospitality	Leisure
Other Services	Other
Government	Government
